Name,Beauhurst URL,Accelerator manager,Sponsor(s),Fund,Next application deadline,Duration,Perks provided,Status,Summary,Eligibility,Phone number,Website,LinkedIn page,Country,Local authority (if UK),Region (if UK),Street address,Postcode (if UK),Number of attendances in this accelerator,Number of fundraisings associated with this accelerator,Date of the latest attendance
Technology Developer Accelerator Programme (TDAP),https://platform.beauhurst.com/acceleratormanager/t6pf9j/accelerator/4vuk9u/,Advanced Propulsion Centre,,,,17 months.,"Access to Business Network, Access to Investor Network, Brand Development, Business Advice, Financial Investment, Mentoring, Product Development, Technical Expertise",Green,"The programme supports companies that seek to commercialise low carbon technology, especially those relevant to the automotive industry. ","Applicant companies must be: Micro, small or medium-sized companies Based in the UK Developing low carbon technology, products or services which are relevant to the automotive industry.",02476 528700,https://www.apcuk.co.uk/technology-developer-accelerator-programme/,,United Kingdom,Coventry,West Midlands,"The Advanced Propulsion Centre
University Road
Coventry
CV4 7AL",CV4 7AL,95,,2024-09-17
W2 Lab,https://platform.beauhurst.com/acceleratormanager/5q5dxk/accelerator/bsfzbf/,L Marks,Wincanton Group,,,10 weeks.,"Access to Finance, Access to Network of Experts, Mentoring, Product Development",Green,This programme is focussed on businesses developing innovative supply-chain solutions.,,,http://w2labs.com/,,United Kingdom,Wiltshire,South West,"Wincanton
Methuen Park
Chippenham 
Wiltshire",SN14 0WT,5,,2021-01-11
PwC Scale Programmes,https://platform.beauhurst.com/acceleratormanager/6qah2i/accelerator/nccp6c/,PwC Scale Programmes,"The Landing, Engine Shed, Futurelabs, Digital Catapult, DigitalHealth.London Accelerator, Early Metrics, AngelsCube, Codebase, PwC",,,10 weeks,"Access to Business Network, Access to Customer Network, Access to Investor Network, Access to Network of Experts, Business Advice, Corporate Resources, Marketing support, Workshops",Green,The programme is focused on scaling businesses from a broad range of regions and sectors.,,,https://www.pwc.co.uk/ux23/pwc-scale.html,,United Kingdom,Southwark,London,"7 More London Riverside
London",SE1 2RT,210,,2023-08-29
STFC CERN Business Incubation Centre (STFC CERN BIC),https://platform.beauhurst.com/acceleratormanager/nvz64k/accelerator/fqzbp3/,Science & Technology Facilities Council (STFC),CERN,STFC CERN Business Incubation Centre,,1 - 2 years.,"Access to Finance, Access to Investor Network, Access to Network of Experts, Business Advice, Investment Assistance, Legal Services, Marketing support, Technical Expertise",Green,The programme is focussed on the development of companies utilising high-energy technology.,Applicants must be seeking to develop and commercialise high-energy technology.,,https://www.cernbic.stfc.ac.uk/Pages/Incubation-programme.aspx,,United Kingdom,Vale of White Horse,South East,"Science and Technology Facilities Council
Atlas Building
Harwell Campus
Didcot
Oxfordshire",OX11 0QX,9,,2018-06-01
Intelligent Mobility,https://platform.beauhurst.com/acceleratormanager/xa3z6j/accelerator/iinkqh/,Connected Places Catapult,"Wayra UK, Transport Systems Catapult",Wayra UK,,6 months.,"Access to Business Network, Access to Customer Network, Access to Investor Network, Access to Network of Experts, Access to Political Network, Mentoring, Office Space, Technical Expertise",Green,The programme is for companies which develop data-driven solutions for global transport problems. ,"Applicants must have a digital product or service to sell,  have at least one active pilot or client, and  be developing technology to tackle one of the following challenges in the UK transport industry : Decarbonising Mobility Improving Experience Connected Mobility",,https://cp.catapult.org.uk/news/intelligent-mobility-accelerator-6th-cohort-open-call-is-open/,,United Kingdom,Westminster,London,"20 Air Street
London",W1B 5DL,47,,2022-05-03
Launchpad,https://platform.beauhurst.com/acceleratormanager/3cq2ch/accelerator/q66zux/,Falmouth University,"Falmouth University, Research England (UKRI), South West Business Council, HM Government",European Regional Development Fund,,1 year.,"Access to Finance, Business Advice, Business Education, Co-founder Matching, Invitation to Exclusive Events, Mentoring, Office Space, Product Development, Workshops",Green,Launchpad is a programme developed by Falmouth University to create new digital businesses.,"Applicants must: Have the right to reside and work in the UK Hold a degree in a relevant subject, or equivalent experience in their field Remain headquartered in Cornwall and the Isles of Scilly for five years after incorporation",01326 213789,https://www.falmouth.ac.uk/launchpad,https://www.linkedin.com/company/28650779,United Kingdom,Cornwall,South West,"Launchpad
Falmouth University
Penryn Campus
Treliever Road
Penryn
Cornwall
TR10 9FE",TR10 9FE,61,,2023-09-30
"10,000 Small Businesses (GS 10KSB)",https://platform.beauhurst.com/acceleratormanager/vn9vck/accelerator/h47ujw/,Goldman Sachs,,,,4 months.,"Access to Business Network, Access to Network of Experts, Business Advice, Business Education, Educational Support, Mentoring, Workshops",Green,The programme aims to provide business education and support to small businesses.,Applicants must:  Be the primary owner or main decision maker of the company and must not have had any recent management education. The company must have been operating for at least 3 years Have between 5 and 50 employees Turnover of at least £250k in the previous financial year.,,http://www.goldmansachs.com/citizenship/10000-small-businesses/UK/,,United Kingdom,Oxford,South East,"Said Business School
Park End Street
Oxford",OX1 1HP,26,,2023-02-06
Lloyd's Lab,https://platform.beauhurst.com/acceleratormanager/5q5dxk/accelerator/auk6bb/,L Marks,Lloyd's,Lloyd's,,10 weeks.,"Access to Business Network, Access to Customer Network, Access to Finance, Access to Network of Experts, Co-working Space, Financial Investment, Mentoring, Product Development",Green,The programme focuses on companies who are developing products that could complement Lloyds' insurance business model.,Applicants must either operate in the InsurTech space or develop products and services that could have applications in the insurance industry. ,,https://www.lloydslab.com/,,United Kingdom,City of London,London,"1 Lime Street
London
EC3M 7HA",EC3M 7HA,34,,2022-09-26
Seraphim Space Camp,https://platform.beauhurst.com/acceleratormanager/778jmp/accelerator/55pf3c/,Seraphim Capital,"Dentons, Telespazio Vega UK, Alliotts, hispasat, UK Space Agency, SES Satellites, National Security Strategic Investment Fund, Qi3, Satellite Applications Catapult, Surrey Satellite Technology, Dstl, Airbus, SPRINT, Cyient",Seraphim Capital,,12 weeks.,"Access to Alumni Network, Access to Business Network, Access to Investor Network, Access to Network of Experts, Business Advice, Business Education, Financial Investment, Investment Assistance, Mentoring, Product Development, Technical Expertise, Workshops",Green,The programme is focused on the development of companies operating in the SpaceTech sector.,Applicants should have a launched or nearly launched product and the ability to scale significantly.,02036 742805,https://seraphim.vc/accelerator/,https://www.linkedin.com/company/11809755,United Kingdom,Hackney,London,"50 Worship Street
London
England
EC2A 2EA",EC2A 2EA,39,,2023-10-17
The Alpha Accelerator,https://platform.beauhurst.com/acceleratormanager/qvx9mi/accelerator/7z3sca/,Huckletree,"ysys, CMS Legal, Silicon Valley Bank, Conduit Connect",,,12 weeks.,"Access to Customer Network, Access to Investor Network, Business Education, Invitation to Exclusive Events, Workshops",Green,"The programme is for early stage, pre-seed founders. It is run annually and has different themes every cohort; the theme for 2022 is Urban Futures. ","Applicant companies should have: At least underrepresented founder as part of founding team A beta/MVP version of their product, preferably an early version on the market Evidence of early traction/customer uptake  Either bootstrapped or just raised a friends and family round, with the intention of raising a seed round of at least £350k within 6-12 months of the programme. ",02038 621400,https://www.huckletree.com/education/alpha,https://www.linkedin.com/company/2932712,United Kingdom,Hammersmith and Fulham,London,"Huckletree West
London",W12 7FP,11,,2022-03-30
Govstart,https://platform.beauhurst.com/acceleratormanager/td2vrf/accelerator/jnegkp/,PUBLIC,,,,6 months.,"Access to Customer Network, Business Advice, Co-working Space, Educational Support, Invitation to Exclusive Events, Mentoring, Product Development",Green,The programme is designed to support tech companies that have strong public sector applications. ,,,https://www.public.io/programmes/govstart/,https://www.linkedin.com/company/11078705,United Kingdom,Westminster,London,"One Horseguards Avenue, 
Westminster
London
SW1A 2HU",SW1A 2HU,33,,2018-07-09
LORCA,https://platform.beauhurst.com/acceleratormanager/eyfvwa/accelerator/6kynmh/,Plexal,"SOSA, Global Cyber Alliance, Splunk, Deloitte, Lloyds Banking Group, CSIT Labs, Kx, Dell","Department for Digital, Culture, Media and Sport",,12 months.,"Access to Customer Network, Access to Investor Network, Access to Network of Experts, Business Education, Co-working Space, Educational Support, Invitation to Exclusive Events, Legal Services, Mentoring, Office Space, Technical Expertise, Workshops",Green,The programme is designed to support the development of innovative cybersecurity companies.,Applicants must: Be a fast growth company with technology that matches the programme's innovation themes Have generated revenue and/or raised capital Have a business relevant to cybersecurity Be a UK registered company. ,0203 909 7763,https://www.lorca.co.uk/,https://www.linkedin.com/company/18945128,United Kingdom,Hackney,London,"Plexal
14 East bay Lane
The Press Centre
Here East
Queen Elizabeth Olympic Park
Stratford
London",E15 2GW,53,,2021-07-07
King's Start-Up Accelerator,https://platform.beauhurst.com/acceleratormanager/5ke2ym/accelerator/bh922w/,King's College London,,King's20,,12 months.,"Access to Alumni Network, Access to Finance, Access to Interns, Access to Investor Network, Access to Network of Experts, Accounting Services, Business Education, Co-working Space, Corporate Resources, Financial Investment, Mentoring, Office Space, Workshops",Green,"The programme is designed to support ventures led by students, staff or alumni of King's College London.","Applicants must be a student, a staff member of an alumni of King's College London. When applying as a group, at least one founder or member of the leadership team must have one of the listed affiliations with the university.",02078 365454,https://www.kcl.ac.uk/entrepreneurship/scale-your-venture/start-ups,,United Kingdom,Westminster,London,"King's College London
Strand
London
WC2R 2LS",WC2R 2LS,167,,2025-06-11
TechItalia:Lab,https://platform.beauhurst.com/acceleratormanager/ns95c6/accelerator/hn6h5f/,TechItalia:Lab,,,,4 weeks.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Co-working Space, Invitation to Exclusive Events, Living Space, Mentoring, Workshops",Green,"The programme aims to support London-based early stage startups, with at least one Italian-speaking founder.",Applicants must: Have at least one Italian-speaking founder. Be based in London. Be an early stage startup with a Minimum Viable Product looking to raise equity investment.,,http://www.techitalialab.com/,https://www.linkedin.com/company/18321447,United Kingdom,Westminster,London,"4th Floor
Holden House
57 Rathbone Place
London",W1T 1JU,5,,2019-03-20
